time_ns,exp_x_rot,exp_y_rot,exp_z,p1_meas
0.0,0.0,-0.0,-1.0,0.0
0.040006667777962995,-0.0545760493828543,-0.03161121355819706,-0.9980091139312556,0.0
0.08001333555592599,-0.07072927035835741,-0.012964881338185533,-0.9974113264962438,0.0
0.12002000333388899,-0.14749315265103813,-0.01090032719486786,-0.9890029902512693,0.0
0.16002667111185198,-0.1658318223533356,-0.032388481874127815,-0.9856220452905843,0.0
0.20003333888981498,-0.2156500040425204,-0.0001821388923249779,-0.9764706076882306,0.0
0.24004000666777797,-0.2721133225339813,-0.029255449802848943,-0.9618201330886941,0.0
0.28004667444574094,-0.28568257160654154,-0.014535035330403151,-0.9582135670308624,0.0
0.32005334222370396,-0.35830605210982236,-0.008656838897209751,-0.9335628824349521,0.0
0.360060010001667,-0.3780925166644269,-0.03145168888699509,-0.9252313255349875,0.00390625
0.40006667777962995,-0.4209849921100621,-0.0007204024031203793,-0.9070638580713859,0.0
0.4400733455575929,-0.47607196498806886,-0.025633833012647628,-0.8790267287647155,0.00390625
0.48008001333555594,-0.48701474159138647,-0.015327356877354786,-0.8732496390062143,0.0
0.520086681113519,-0.5517173704425778,-0.006539800713187799,-0.8339906687075048,0.0078125
0.5600933488914819,-0.5718218963646677,-0.028793889381913622,-0.8198500579270064,0.00390625
0.6001000166694449,-0.6063861888925296,-0.0015009348112057092,-0.7951371875720412,0.015625
0.6401066844474079,-0.6566103420374778,-0.021122889544837153,-0.7538881020502516,0.00390625
0.680113352225371,-0.6650670912644341,-0.015090160133721608,-0.7465686665813771,0.01953125
0.720120020003334,-0.7186696320895474,-0.004781427274409555,-0.6952475898512726,0.01953125
0.7601266877812969,-0.7375685870698625,-0.02454796719148751,-0.674707116087334,0.0234375
0.8001333555592599,-0.7631805877779508,-0.0023469543602354093,-0.6460242775905343,0.03125
0.8401400233372229,-0.8051031734286612,-0.01614757480301854,-0.5926983263797093,0.046875
0.8801466911151858,-0.8112706964255723,-0.013652253519348845,-0.5842369856650218,0.02734375
0.9201533588931489,-0.8514180371039249,-0.003533909839893934,-0.5241000999942935,0.05859375
0.9601600266711119,-0.8672707923575799,-0.018984931489062884,-0.4969860435003032,0.0546875
1.0001666944490748,-0.8840334264817612,-0.003049841045835666,-0.4667898096384396,0.07421875
1.040173362227038,-0.9145470795323285,-0.011141552661105225,-0.4034569713109156,0.08203125
1.0801800300050008,-0.9185652025160473,-0.010952281335392888,-0.39405862835232086,0.1015625
1.1201866977829638,-0.9438789193385735,-0.002861614587616579,-0.32878610521088186,0.08984375
1.160193365560927,-0.9546639798414932,-0.012490929935911901,-0.29546457542646204,0.140625
1.2002000333388898,-0.9632928773870154,-0.003397534969252991,-0.2659059852486482,0.12109375
1.240206701116853,-0.9798902327165947,-0.006505118187826231,-0.19546025972464243,0.203125
1.2802133688948159,-0.981753371892784,-0.007052881236654873,-0.1852070159505977,0.15234375
1.3202200366727788,-0.9918939641146077,-0.002738132296140533,-0.11861857407937842,0.1796875
1.360226704450742,-0.9955830622284496,-0.0055302420009870484,-0.08007306826953947,0.1640625
1.4002333722287048,-0.9972501751542269,-0.0032046262031983908,-0.05286383518173787,0.25
1.440240040006668,-0.9982486167594413,-0.002566156844412526,0.02116492359722949,0.26171875
1.4802467077846309,-0.997759463493455,-0.0021416575913610902,0.03221368795057572,0.2578125
1.5202533755625938,-0.9933995487954038,-0.0030566218590754035,0.09645305917288954,0.328125
1.560260043340557,-0.9881689801056042,0.0013986503249628357,0.13860397412968606,0.3359375
1.6002667111185198,-0.9843155392725094,-0.002343362120911685,0.16226311582884267,0.35546875
1.6402733788964827,-0.9690232736671202,0.0004472132488095859,0.23595998314517824,0.38671875
1.6802800466744459,-0.9657992937516426,0.0034807653699578944,0.24765770595123227,0.3671875
1.7202867144524088,-0.9485180491544241,-0.003654467420391036,0.3063056833969101,0.4296875
1.7602933822303717,-0.9329562709742749,0.00780675987568627,0.3498589451885836,0.484375
