time_ns,exp_x_rot,exp_y_rot,exp_z,p1_meas
0.0,0.0,-0.0,-1.0,0.0
0.04001333777925975,-0.06422438158788366,-0.03716178643251805,-0.9972433181510402,0.0
0.0800266755585195,-0.08320808743494384,-0.01523121536079037,-0.9964158288236084,0.0
0.12004001333777925,-0.17332002796452858,-0.012654461455662569,-0.9847842268353015,0.0
0.160053351117039,-0.19485711311001147,-0.037780550551139186,-0.9801036866611126,0.0
0.20006668889629875,-0.2529614203389271,4.8980687175660675e-06,-0.9674760222793444,0.0
0.2400800266755585,-0.3187218269900478,-0.0335471788391184,-0.9472538675019506,0.00390625
0.28009336445481825,-0.3343807910359272,-0.01646434631143978,-0.9422927928143235,0.0
0.320106702234078,-0.41797332244016405,-0.009253418358969173,-0.9084095767003213,0.0
0.36012004001333775,-0.44072761671089283,-0.03519646402256903,-0.8969458347349822,0.00390625
0.4001333777925975,-0.48927473157373386,3.3415537247130644e-05,-0.8721218037880669,0.0
0.44014671557185725,-0.5513741613502421,-0.027488304640402805,-0.8337920153883098,0.0078125
0.480160053351117,-0.5634998126731123,-0.015930656050294922,-0.8259424800161628,0.015625
0.5201733911303767,-0.6347355962115564,-0.005558284945345993,-0.7726783286307561,0.0078125
0.5601867289096365,-0.6567631948196703,-0.029500210091171347,-0.7534732926949017,0.01171875
0.6002000666888962,-0.6936322783612097,0.00023320088665670924,-0.720263146775695,0.00390625
0.640213404468156,-0.7466699183420695,-0.0197097816178754,-0.6648043158324153,0.015625
0.6802267422474157,-0.755359307665229,-0.013331822132541526,-0.6550420362683342,0.04296875
0.7202400800266755,-0.8095796614764422,-0.0020086364853244554,-0.586813173399262,0.05859375
0.7602534178059352,-0.8283898619696223,-0.02109494646675683,-0.5594889371401712,0.03515625
0.800266755585195,-0.8528080123558691,0.000812141076812517,-0.5218663429228076,0.03125
0.8402800933644547,-0.8917267545655025,-0.011050875300035401,-0.4519175550804756,0.0703125
0.8802934311437145,-0.8971789329189099,-0.00857601277396619,-0.44092004941753643,0.09765625
0.9203067689229742,-0.9313141779185287,0.001077292610863534,-0.3632305167704433,0.08984375
0.960320106702234,-0.9440755550577448,-0.010663504837160718,-0.328221470450384,0.10546875
1.0003334444814937,-0.9565056470270967,0.0019924303096696683,-0.28990139730613734,0.15625
1.0403467822607535,-0.977136252615884,-0.002364287176137625,-0.20961680925032056,0.14453125
