omega_d_GHz,max_prob_1,avg_prob_1
4.7,0.16785679596076442,0.05473695729304355
4.702500000000001,0.17156090309703664,0.056275752677449324
4.705,0.17528780042044934,0.05790886740406488
4.7075000000000005,0.17903715293626732,0.0596094029775413
4.71,0.1831330619138798,0.061372994355691046
4.7125,0.18743780806745458,0.06319163869918536
4.715,0.19177531786362434,0.06506295074798546
4.7175,0.19614469532707313,0.06697496318543229
4.72,0.20054485880070871,0.06890017310309075
4.7225,0.20497465420256222,0.07079598628043497
4.7250000000000005,0.2100765292020792,0.07261116857327697
4.7275,0.2156677425160617,0.07430007502286051
4.73,0.22130929891919204,0.07583610776088318
4.7325,0.2269982858222338,0.07721927701198947
4.735,0.2327319941493582,0.07849055898281707
4.7375,0.23850782140425786,0.07970866766224287
4.74,0.2443226706618371,0.0809570030542426
4.742500000000001,0.25017384635357764,0.08232316407632877
4.745,0.25605904830618986,0.08388151405803665
4.7475000000000005,0.26197428963477676,0.08568240615853036
4.75,0.2679168324504241,0.08774584175643661
4.7525,0.27388472245827655,0.09005938681933047
4.755,0.2798744754480049,0.09259027287546814
4.7575,0.2858827733264122,0.09529676447554138
4.76,0.2919074613086847,0.09813899573380667
4.7625,0.2979451195802698,0.10108968823284961
4.765000000000001,0.30403238066273786,0.10413544144375701
4.7675,0.31226590697872014,0.10727085370672317
4.7700000000000005,0.3205534157114711,0.11049105013898118
4.7725,0.32888994155170226,0.11378203234385291
4.775,0.3372718891276433,0.11710845348934454
4.7775,0.34569134139666446,0.12043488021281182
4.78,0.3541465517502075,0.12369224682811789
4.7825,0.36262999740796553,0.12680799045591193
4.785,0.37113952632022995,0.12972908008853892
4.7875000000000005,0.37966786245887296,0.1324227103897485
4.79,0.3882101297036694,0.13488703678977038
4.7925,0.39676135601654405,0.13715649321293644
4.795,0.40531805865460746,0.13929675632806246
4.7975,0.41387364485275624,0.141400568705183
4.8,0.42242433049960115,0.14356754657886844
4.8025,0.4309648627253577,0.14589949370894392
4.805000000000001,0.440018195483579,0.1484824995365222
4.8075,0.4502798085916182,0.15137839403966882
4.8100000000000005,0.4605428315618314,0.1546196332669239
4.8125,0.4707980286012088,0.15821479681184134
4.815,0.4810365787333388,0.16213171679149974
4.8175,0.4915067397405398,0.16634032923453626
4.82,0.5025849044530745,0.17077985389323072
4.8225,0.5136441032924247,0.17540935340075053
4.825,0.5246762250316834,0.1801852805149753
4.827500000000001,0.5356771446030993,0.18508543649625894
4.83,0.546638121448431,0.19008892131959879
4.8325000000000005,0.5575497710542163,0.1951856143140396
4.835,0.569799271805775,0.20036722735565426
4.8375,0.5824667405144607,0.20562234123413595
4.84,0.5950564214977772,0.2109238764091865
4.8425,0.6075559574169144,0.21625048073878525
4.845,0.6199528410994833,0.2215622717355448
4.8475,0.6322333030298896,0.2268208123987614
4.8500000000000005,0.6443906794071563,0.23196866068605768
4.8525,0.6564187004258556,0.236957476604076
4.855,0.668290417540777,0.24173978739615198
4.8575,0.6800085767382058,0.2462728064939538
4.86,0.6915532587598017,0.25053649575180154
4.8625,0.7029057708689205,0.25451538692624154
4.865,0.7140826168103489,0.25821695500876074
4.867500000000001,0.7250623205013157,0.2616706405151792
4.87,0.735983919508136,0.26489927989028555
4.8725000000000005,0.7483835681067434,0.26795947202107395
4.875,0.7605415316112274,0.2708758266129375
4.8775,0.7724416381652923,0.2737149558444623
4.88,0.7840514004815453,0.27649751090181757
4.8825,0.7953754349780892,0.2792763375664992
4.885,0.8063933238636454,0.2820763113102315
4.8875,0.817210523991804,0.28493529369012793
